timestamp,datetime,ax,ay,az,gx,gy,gz,spo2,finger_detected
1759741559.567,2025-10-06 10:05:59.566,0.0449,-0.0037,0.8828,2.2824,-2.4122,-2.6489,,False
1759741559.699,2025-10-06 10:05:59.699,0.0852,-0.0063,0.8689,3.4122,-4.6641,6.916,,False
1759741559.844,2025-10-06 10:05:59.844,0.0376,-0.0071,0.8857,2.4962,-1.8397,-2.7328,,False
1759741559.972,2025-10-06 10:05:59.972,0.0564,-0.0054,0.8845,2.6565,-2.4733,-0.7939,,False
1759741560.1,2025-10-06 10:06:00.100,0.0566,-0.0085,0.8772,3.2901,-5.7328,0.5725,,False
1759741560.245,2025-10-06 10:06:00.245,0.0566,-0.0051,0.8789,2.0458,0.1756,-2.626,,False
1759741560.377,2025-10-06 10:06:00.377,0.0432,-0.0071,0.8862,2.2519,2.313,-2.626,,False
1759741560.51,2025-10-06 10:06:00.509,0.0518,-0.0063,0.8821,2.4962,0.1374,-2.5878,,False
1759741560.642,2025-10-06 10:06:00.642,0.0417,-0.0061,0.8794,2.6031,0.6336,-2.6107,,False
1759741560.771,2025-10-06 10:06:00.770,0.0483,-0.0103,0.8845,2.5573,-0.0687,-2.6565,,False
1759741560.899,2025-10-06 10:06:00.899,0.0486,-0.0088,0.8704,2.5802,1.2824,-2.2519,,False
1759741561.031,2025-10-06 10:06:01.031,0.0527,-0.0059,0.8831,2.3893,0.2061,-2.771,,False
1759741561.164,2025-10-06 10:06:01.164,0.0498,-0.0125,0.8799,2.3435,0.6107,-2.7023,,False
1759741561.292,2025-10-06 10:06:01.292,0.0474,-0.0051,0.8809,2.3359,-0.4809,-2.6031,,False
1759741561.42,2025-10-06 10:06:01.420,0.051,-0.0066,0.8892,2.626,0.5115,-2.6031,,False
1759741561.553,2025-10-06 10:06:01.552,0.0459,-0.0088,0.8787,2.5038,0.6565,-2.8015,,False
1759741561.688,2025-10-06 10:06:01.687,0.0449,-0.0081,0.8835,2.3359,0.5878,-2.4656,,True
1759741561.828,2025-10-06 10:06:01.828,0.0457,-0.0081,0.8804,2.5573,-0.3359,-2.5573,,True
1759741561.968,2025-10-06 10:06:01.967,0.0464,-0.0073,0.8818,2.3206,-1.4733,-2.8092,,True
1759741562.099,2025-10-06 10:06:02.099,0.0449,-0.0115,0.8813,2.7557,2.0916,-2.7176,,True
1759741562.239,2025-10-06 10:06:02.238,0.0344,-0.0051,0.8862,2.1679,-1.458,-2.5038,,True
1759741562.371,2025-10-06 10:06:02.370,0.0461,-0.0017,0.8896,2.6565,-0.4656,-2.4504,,True
1759741562.503,2025-10-06 10:06:02.502,0.0518,-0.0081,0.8899,2.4733,-0.1374,-2.5649,,True
1759741562.642,2025-10-06 10:06:02.642,0.0342,-0.0088,0.877,2.7328,2.0382,-2.6794,,True
1759741562.774,2025-10-06 10:06:02.773,0.0388,-0.0049,0.8804,2.9618,2.9008,-2.8626,,True
1759741562.905,2025-10-06 10:06:02.904,0.0391,-0.0051,0.887,2.3511,-1.3435,-2.4275,,True
1759741563.036,2025-10-06 10:06:03.036,0.0295,-0.0049,0.876,2.4427,-0.6107,-2.7252,,True
1759741563.168,2025-10-06 10:06:03.167,0.0398,-0.0032,0.8801,2.5191,0.7481,-2.626,,True
1759741563.3,2025-10-06 10:06:03.300,0.0283,-0.0034,0.8901,2.1221,-1.2061,-2.8168,,True
1759741563.439,2025-10-06 10:06:03.439,0.0352,-0.0059,0.8784,2.1298,-2.0611,-2.626,,True
1759741563.571,2025-10-06 10:06:03.571,0.0471,-0.0068,0.8857,2.5649,-6.8779,-2.9389,,True
1759741563.703,2025-10-06 10:06:03.703,0.0559,-0.0066,0.8833,2.5115,-2.4733,-2.3282,,True
1759741563.852,2025-10-06 10:06:03.852,0.0608,-0.0029,0.8784,2.5344,-7.771,-0.5191,,True
1759741563.984,2025-10-06 10:06:03.984,0.0723,-0.0085,0.8809,3.0992,0.7863,-2.542,,True
1759741564.124,2025-10-06 10:06:04.124,0.0442,0.0652,0.8862,3.2672,-1.0611,10.2519,,True
1759741564.256,2025-10-06 10:06:04.255,-0.0056,-0.0347,0.8789,3.4962,0.542,6.3893,,True
1759741564.388,2025-10-06 10:06:04.388,-0.0334,0.1272,0.8643,4.2443,-3.2977,19.1069,,True
1759741564.519,2025-10-06 10:06:04.519,0.189,0.0129,0.8179,6.145,10.7634,-2.6107,,True
1759741564.651,2025-10-06 10:06:04.651,0.0205,-0.0647,0.8765,1.8015,-0.1832,-13.6107,,True
1759741564.783,2025-10-06 10:06:04.783,0.0281,-0.0198,0.8657,2.2061,-8.8015,-2.5954,,True
1759741564.923,2025-10-06 10:06:04.922,0.0535,-0.0701,0.8958,2.0,11.3664,-12.3282,,True
1759741565.055,2025-10-06 10:06:05.054,0.0679,-0.001,0.8843,2.145,-4.8244,-2.6183,,True
1759741565.194,2025-10-06 10:06:05.193,0.0647,-0.0083,0.884,0.9618,-0.4198,-20.5725,,True
1759741565.325,2025-10-06 10:06:05.325,0.0674,-0.0054,0.8877,1.6336,-2.0382,-6.9237,,True
1759741565.456,2025-10-06 10:06:05.455,0.0742,-0.0032,0.8816,2.1374,0.3053,-2.6107,,True
1759741565.595,2025-10-06 10:06:05.595,0.075,-0.0042,0.8796,2.145,0.6183,-6.2214,,True
1759741565.727,2025-10-06 10:06:05.726,0.0732,-0.0066,0.8796,1.9237,-2.0,-2.8015,,True
1759741565.869,2025-10-06 10:06:05.868,0.0771,-0.0095,0.8687,2.7863,1.084,-2.7939,,True
1759741566.0,2025-10-06 10:06:05.999,0.0813,-0.0093,0.8601,1.9389,-1.2061,-2.7939,,True
1759741566.131,2025-10-06 10:06:06.130,0.0754,-0.0032,0.8826,2.5649,-0.3359,-2.8244,,True
1759741566.262,2025-10-06 10:06:06.262,0.0693,-0.0073,0.8787,3.0229,2.1603,-2.7786,,True
1759741566.393,2025-10-06 10:06:06.393,0.0288,-0.0217,0.8931,1.1756,0.1221,-13.313,,True
1759741566.524,2025-10-06 10:06:06.524,0.1101,0.02,0.8638,2.5191,0.3053,-2.5649,,True
1759741566.656,2025-10-06 10:06:06.655,0.0493,-0.0007,0.866,6.7481,-8.0153,4.8855,,True
1759741566.795,2025-10-06 10:06:06.795,0.0354,-0.019,0.8962,2.8168,-1.4351,1.1298,,True
1759741566.927,2025-10-06 10:06:06.926,0.1304,0.0195,0.9004,-1.3969,27.458,-19.145,,True
1759741567.059,2025-10-06 10:06:07.058,0.0266,-0.0535,0.8806,1.6947,-1.4122,-12.5344,,True
1759741567.198,2025-10-06 10:06:07.197,-0.0337,-0.0146,0.8906,4.5725,-6.5267,21.6794,,True
1759741567.329,2025-10-06 10:06:07.329,0.0598,-0.0977,0.8467,1.8702,3.2061,-11.1221,,True
1759741567.461,2025-10-06 10:06:07.461,0.053,0.0073,0.8533,4.4046,-20.6794,17.7176,,True
1759741567.601,2025-10-06 10:06:07.600,0.1057,0.0054,0.8633,2.0992,2.145,-7.9084,,True
1759741567.732,2025-10-06 10:06:07.732,0.0229,0.0037,0.874,3.9771,-10.145,11.1832,,True
